quality,strip width,act weigth,slab width,entry weigth,widthRM-aver,crown-aver,T-aver-RMexit,T-dev-RMexit,T-FMexit,cast speed-aver,cast speed-max(m/s),cast speed-min,pressure-exit-aver,pressure-exit-max,pressure-exit-min,T-R1EN,T-IHEN,T-IHEX
ok,1277.4,18.435,1290,18.612,1288,0.007,969,3,850,5.7,0.095,0.095,32472.356,32916.666,32031.25,0,901,0
ok,1277.8,20.47,1290,20.68,1288,0.009,969,3,850,5.7,0.095,0.095,32482.1,32968.75,31961.804,0,902,0
ok,1278,16.435,1290,16.544,1288,0.013,967,2,850,5.7,0.095,0.095,32448.58,32899.304,32013.888,0,901,0
ok,1278.2,16.31,1290,16.544,1288,0.014,966,2,850,5.7,0.095,0.095,32453.804,32899.304,32031.25,0,899,0
ok,1276.3,16.42,1290,16.544,1288,0.009,964,2,850,5.7,0.095,0.095,38173.416,39062.5,37413.192,0,898,0
ok,1275.7,21.24,1290,21.617,1287,0.007,965,3,850,5.7,0.095,0.095,32404.29,32795.138,31979.166,0,899,0
ok,1276.5,16.37,1290,16.544,1288,0.009,964,2,850,5.7,0.095,0.095,38154.532,38732.64,37604.164,0,897,0
ok,1276,22.5,1290,22.748,1288,0.014,957,3,850,5.7,0.095,0.095,38159.112,39062.5,37326.388,0,896,0
ok,1276.2,20.48,1290,20.68,1288,0.009,966,3,850,5.7,0.095,0.095,32406.654,34375,32048.608,0,899,0
ok,1277.3,18.425,1290,18.612,1288,0.018,968,3,850,5.7,0.095,0.095,32340.584,32986.108,31961.804,0,899,0
ok,1277.7,20.49,1290,20.68,1288,0.02,955,4,850,5.7,0.095,0.095,38128.688,38888.888,37395.832,0,894,0
ok,1277.3,16.43,1290,16.544,1288,0.02,956,3,850,5.7,0.095,0.095,38134.88,38906.248,37343.752,0,896,0
ok,1277.2,20.465,1290,20.68,1288,0.017,966,3,850,5.7,0.095,0.095,32024.88,38090.276,27500,0,899,0
ok,1276.2,20.47,1290,20.68,1289,0.017,965,3,850,5.7,0.095,0.095,30459.316,32378.47,24809.028,0,898,0
ok,1276,18.415,1290,18.612,1289,0.015,964,3,850,5.7,0.095,0.094,25065.014,28420.138,24496.528,0,898,0
ok,1274.5,18.445,1290,18.612,1288,0.014,966,3,850,5.64,0.095,0.094,27772.612,39947.916,503.472,0,899,0
ok,1275.6,18.44,1290,18.612,1288,0.01,966,2,850,5.7,0.095,0.095,38164.812,38975.692,37447.916,0,897,0
ok,1275.9,18.43,1290,18.612,1288,0.009,967,3,850,5.7,0.095,0.094,38178.428,38993.056,37482.64,0,897,0
ok,1276.4,18.42,1290,18.612,1288,0.009,966,4,850,5.7,0.095,0.094,38165.424,39010.416,37326.388,0,898,0
bad,1276.3,18.4,1290,18.612,1288,0.008,967,3,850,5.7,0.095,0.095,38147.368,38923.608,37447.916,0,899,0
ok,1276.3,16.305,1290,16.544,1288,0.008,964,3,850,5.7,0.095,0.095,38150.16,39184.028,37170.14,0,896,0
ok,1276.8,20.47,1290,20.68,1288,0.013,961,3,850,5.7,0.095,0.095,38162.444,39253.468,37013.888,0,897,0
ok,1275.5,21.23,1290,21.714,1288,0.012,960,3,850,5.7,0.095,0.095,38132.028,38906.248,37361.108,0,896,0
ok,1275.5,18.46,1290,18.612,1288,0.013,959,3,850,5.7,0.095,0.095,38123.96,38871.528,37430.556,0,893,0
ok,1276.2,21.205,1290,21.714,1288,0.016,956,4,850,5.7,0.095,0.095,38130.536,38715.276,37447.916,0,894,0
ok,1277.4,16.445,1290,16.544,1287,0.023,956,4,850,5.7,0.095,0.095,38187.184,39184.028,37326.388,0,896,0
ok,1275.9,21.305,1290,21.714,1286,0.026,957,3,850,5.7,0.095,0.095,38198.02,38923.608,37309.028,0,897,0
ok,1259.7,20.415,1275,20.68,1270,0.023,970,2,850,5.7,0.095,0.095,33089.128,38923.608,30052.082,0,892,0
bad,1258.6,20.455,1275,20.68,1271,0.015,963,2,850,5.7,0.095,0.095,38107.992,39218.752,36961.804,0,892,0
ok,1260.6,20.44,1275,20.68,1272,0.019,961,3,850,5.64,0.094,0.093,38091.204,38906.248,37152.776,0,887,0
bad,1258.9,20.43,1275,20.68,1273,0.015,960,3,850,5.64,0.094,0.093,38102.944,39097.22,36996.528,0,897,0
bad,1258.6,20.45,1275,20.68,1273,0.016,960,3,850,5.64,0.094,0.094,38092.284,39166.664,37048.608,0,897,0
bad,1258.9,20.505,1275,20.68,1273,0.015,962,3,850,5.64,0.094,0.093,38120.204,39166.664,37152.776,0,898,0
ok,1259,20.44,1275,20.68,1273,0.015,962,2,850,5.64,0.094,0.094,38107.808,39184.028,37135.416,0,898,0
ok,1258.5,20.44,1275,20.68,1273,0.016,961,3,850,5.64,0.094,0.094,38136.172,39062.5,37361.108,0,897,0
bad,1259.1,20.48,1275,20.68,1274,0.016,962,3,850,5.64,0.094,0.094,38120.12,39131.944,37100.692,0,896,0
ok,1261.1,20.46,1275,20.68,1274,0.018,961,2,850,5.64,0.094,0.093,38167.036,39479.164,36996.528,0,898,0
bad,1261.1,20.435,1275,20.68,1274,0.019,963,3,850,5.64,0.094,0.094,38156.48,39687.5,36979.164,0,899,0
ok,1261.5,20.455,1275,20.68,1274,0.019,963,2,850,5.64,0.094,0.094,38192.08,39583.332,36840.276,0,900,0
ok,1261.4,21.01,1275,21.714,1274,0.019,964,3,850,5.64,0.094,0.094,38193.548,39496.528,36996.528,0,899,0
bad,1261.5,21.015,1275,21.714,1274,0.019,963,2,850,5.64,0.094,0.094,38152.196,39322.916,36961.804,0,900,0
ok,1261.4,21.015,1275,21.714,1274,0.018,963,2,850,5.64,0.094,0.094,38138.248,39010.416,37152.776,0,900,0
bad,1261.6,21.005,1275,21.714,1274,0.018,963,3,850,5.64,0.094,0.094,38127.048,39149.304,37083.332,0,899,0
bad,1261,21.005,1275,21.714,1275,0.016,963,2,850,5.64,0.094,0.094,38152.84,39253.468,37187.5,0,898,0
ok,1260.8,20.465,1275,20.68,1275,0.012,963,3,850,5.64,0.094,0.094,38157.184,39166.664,36909.72,0,898,0
ok,1260.8,20.425,1275,20.68,1274,0.015,964,2,850,5.64,0.094,0.094,38157.472,38958.332,37170.14,0,884,0
ok,1256.2,20.39,1275,20.68,1272,0.015,959,2,850,5.64,0.094,0.094,38161.228,39097.22,37256.944,0,882,0
bad,1256.6,20.495,1275,20.68,1272,0.022,960,2,850,5.64,0.094,0.094,38179.588,39305.556,37013.888,0,892,0
ok,1257.8,20.455,1275,20.68,1271,0.026,958,3,850,5.7,0.095,0.095,38156.868,39305.556,36961.804,1000,888,1124
bad,1257.9,20.505,1275,20.68,1271,0.026,959,3,850,5.64,0.095,0.094,38136.496,39253.468,37083.332,999,888,1126
ok,1257.9,20.45,1275,20.68,1272,0.028,958,3,850,5.64,0.094,0.094,38131.128,39218.752,36961.804,999,890,1125
bad,1258.5,20.51,1275,20.68,1273,0.025,957,3,850,5.64,0.094,0.094,38122.74,39149.304,36996.528,997,890,1123
bad,1259,20.455,1275,20.68,1273,0.027,956,3,850,5.64,0.094,0.094,38096.748,39062.5,37048.608,998,885,1122
ok,1259,20.515,1275,20.68,1273,0.028,954,4,850,5.52,0.094,0.091,38121.676,39184.028,36822.916,997,879,1122
ok,1261.3,20.535,1275,20.68,1274,0.029,947,3,850,5.46,0.091,0.091,38126.676,39149.304,37187.5,994,877,1121
ok,1261.8,20.52,1275,20.68,1275,0.03,947,4,850,5.46,0.091,0.091,38141.012,39149.304,37222.22,991,872,1120
ok,1262.7,20.52,1275,20.68,1275,0.03,942,3,850,5.46,0.091,0.09,38121.496,39184.028,36927.08,984,871,1120
ok,1263,20.515,1275,20.68,1276,0.029,935,3,850,5.46,0.091,0.09,38173.544,39687.5,36927.08,979,863,1119
bad,1261.8,20.525,1275,20.68,1277,0.031,922,8,850,5.46,0.091,0.091,38225.672,39583.332,37013.888,963,856,1117
ok,1260.1,20.475,1275,20.68,1278,0.034,912,5,850,5.46,0.091,0.091,38193.092,39444.444,37013.888,951,856,1117
ok,1260.4,20.505,1275,20.68,1278,0.035,904,4,850,5.46,0.091,0.091,38187.312,39184.028,37187.5,947,857,1116
ok,1261.5,20.505,1275,20.68,1278,0.036,903,5,850,5.46,0.091,0.091,38132.888,39166.664,37256.944,948,855,1114
ok,1274.5,16.495,1290,16.544,1287,0.032,941,4,850,5.4,0.09,0.09,38019.204,39079.86,36892.36,981,854,1150
ok,1275.3,16.475,1290,16.544,1287,0.031,944,4,850,5.4,0.09,0.09,38037.868,39184.028,36927.08,983,856,1150
ok,1275.2,16.5,1290,16.544,1287,0.031,943,4,850,5.4,0.09,0.09,38036.984,39045.14,36927.08,983,862,1150
ok,1275,16.465,1290,16.544,1287,0.032,941,4,850,5.4,0.09,0.09,38051.116,39045.14,36996.528,982,865,1150
